2-MethylBA,BA,2-BromoBA,2-HydroxyBA,4-HydroxyBA,3-HydroxyBA,2-MethoxyBA,2-ButoxyBA,2-EthoxyBA,2-AminoBA,2-PhenoxyBA,2-PropoxyBA,Hexanoic acid,Cis-2-hexenol,AITC,Trans-2-hexenol,Citrus,Control
6,122,351,11,340,15,1200,11,1200,91,7,242,35,7,5,11,8,6
40,203,316,270,9,5,720,543,324,402,37,128,131,19,23,210,10,16
16,390,1200,298,6,17,188,27,20,49,13,25,152,115,8,26,8,20
140,6,8,210,14,7,16,5,27,145,22,50,50,13,14,6,11,40
60,8,9,90,23,75,36,20,20,90,15,50,90,11,22,160,203,18
12,17,85,12,6,7,8,47,25,3,51,93,25,4,96,26,3,5
17,11,24,61,7,32,21,42,12,10,15,11,98,5,4,5,7,5
1200,61,75,6,8,3,8,2,3,10,32,3,4,8,34,4,4,3
253,259,103,333,12,97,1200,103,117,31,100,75,49,78,14,32,39,5
329,141,80,322,4,11,1080,16,57,52,11,340,18,99,6,3,6,179
267,32,1200,97,70,7,1200,139,56,42,7,21,4,8,53,40,13,4
172,286,367,98,12,3,507,126,244,59,84,32,38,214,27,59,9,58
9,60,50,25,20,15,13,22,68,400,16,45,5,6,16,30,10,21
23,55,43,31,30,6,10,15,24,50,8,5,31,7,72,15,11,8
106,87,8,640,55,47,1200,10,20,21,14,15,5,24,124,140,14,12
5,10,192,303,15,296,5,19,10,1200,623,1200,4,184,9,1200,115,90
107,205,6,44,7,8,386,91,104,183,11,49,55,7,7,7,9,36
75,29,73,64,40,8,14,43,24,23,50,52,17,6,3,28,15,49
57,14,12,1200,15,24,77,11,1200,20,4,51,25,23,11,5,11,22
41,46,27,28,61,4,100,8,10,1200,16,128,7,295,12,7,30,7
91,151,19,106,22,51,1200,77,1200,9,7,20,55,9,22,17,51,9
99,30,360,61,8,7,109,47,82,17,7,10,31,10,37,4,6,9
231,277,186,469,13,79,350,177,10,215,96,381,8,19,177,82,12,8
128,1200,57,576,15,26,1200,43,44,352,56,9,108,35,102,16,42,129
314,182,109,19,5,20,157,108,161,70,22,156,10,2,9,42,4,9
13,1200,422,32,56,20,1200,9,1200,45,354,401,103,75,124,11,18,29
32,282,210,459,9,8,1200,591,1200,30,21,518,11,70,14,39,6,61
13,20,532,36,60,16,38,270,61,13,32,78,6,17,121,29,10,36
16,13,29,47,10,7,1200,29,17,28,13,15,12,17,58,30,24,19
198,117,192,296,315,102,498,122,45,484,36,439,114,27,244,6,49,31