2-MethoxyBA,2-BromoBA,2-HydroxyBA,2-EthoxyBA,Control
3489,6967,3300,9000,535
8280,6240,3240,9000,1206
9000,9000,3600,4860,2560
5160,5340,5340,5760,630
7200,4560,960,4405,350
9000,6840,2220,9000,270
7260,3240,720,9000,379
9000,3060,120,1140,410
8220,8820,900,9000,243
9000,5820,1500,9000,336
4500,5460,1920,6420,205
6660,6660,960,9000,257
1560,6780,1140,9000,401
9000,3420,2820,9000,312
6000,5820,1200,6420,256
7440,5580,1980,3840,683
9000,4500,1500,6660,544
6960,5580,1560,3420,712
8820,5040,540,9000,391
8940,5880,789,9000,264